> Cross profile number -L0-000 at -159.126/028.841 az=001.4
-159.125987992	28.8586808201	-1995.21080939	181.428848733	-5509.25589184
-159.125993113	28.8585010119	-1975.25867787	181.428848733	-5509.52227299
-159.125998234	28.8583212038	-1955.30654682	181.428846248	-5509.70392882
-159.126003355	28.8581413956	-1935.35441624	181.428843785	-5509.79091301
-159.126008476	28.8579615874	-1915.40228614	181.428841315	-5509.79958183
-159.126013597	28.8577817792	-1895.45015651	181.428838837	-5509.70320716
-159.126018717	28.857601971	-1875.49802736	181.428836375	-5509.55917156
-159.126023838	28.8574221628	-1855.54589868	181.428833889	-5509.4435918
-159.126028959	28.8572423546	-1835.59377047	181.428831427	-5509.32932905
-159.12603408	28.8570625464	-1815.64164274	181.428828957	-5509.25823347
-159.126039201	28.8568827382	-1795.68951547	181.428826479	-5509.28267388
-159.126044322	28.85670293	-1775.73738869	181.428824017	-5509.36834991
-159.126049442	28.8565231218	-1755.78526237	181.428821538	-5509.42831337
-159.126054563	28.8563433136	-1735.83313653	181.428819068	-5509.45630744
-159.126059684	28.8561635054	-1715.88101116	181.428816598	-5509.45943931
-159.126064804	28.8559836972	-1695.92888627	181.428814127	-5509.41356529
-159.126069925	28.855803889	-1675.97676185	181.428811649	-5509.31269369
-159.126075046	28.8556240809	-1656.0246379	181.428809187	-5509.22156826
-159.126080167	28.8554442727	-1636.07251442	181.428806708	-5509.17673045
-159.126085287	28.8552644645	-1616.12039142	181.428804246	-5509.15873837
-159.126090408	28.8550846563	-1596.16826889	181.428801767	-5509.19094654
-159.126095528	28.8549048481	-1576.21614684	181.428799297	-5509.27286187
-159.126100649	28.8547250399	-1556.26402526	181.428796834	-5509.39859473
-159.12610577	28.8545452317	-1536.31190415	181.428794356	-5509.57705095
-159.12611089	28.8543654235	-1516.35978352	181.428791885	-5509.80595845
-159.126116011	28.8541856153	-1496.40766335	181.428789406	-5510.09625185
-159.126121131	28.8540058071	-1476.45554367	181.428786944	-5510.46726426
-159.126126252	28.8538259989	-1456.50342445	181.428784481	-5510.91633993
-159.126131372	28.8536461907	-1436.55130571	181.428781994	-5511.40770505
-159.126136493	28.8534663825	-1416.59918744	181.428779531	-5511.9349928
-159.126141613	28.8532865743	-1396.64706964	181.42877706	-5512.50020081
-159.126146733	28.8531067661	-1376.69495232	181.42877459	-5513.08581756
-159.126151854	28.8529269579	-1356.74283547	181.428772111	-5513.69226333
-159.126156974	28.8527471497	-1336.7907191	181.428769648	-5514.3231791
-159.126162095	28.8525673415	-1316.8386032	181.428767169	-5514.98024719
-159.126167215	28.8523875333	-1296.88648777	181.428764714	-5515.66156476
-159.126172335	28.8522077251	-1276.93437281	181.428762227	-5516.35438114
-159.126177456	28.8520279169	-1256.98225833	181.428759764	-5517.07776788
